timestamp,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y
2.9029,0.51445973,0.6939771800000001,0.53003907,0.72561768,0.49888036,0.72561768,0.55006969,0.72561768,0.47217286,0.72166258,0.58122832,0.5951006400000001,0.43878847,0.5951006400000001,0.60793591,0.36966223,0.40985537,0.37361729,0.58122832,0.47644876999999997,0.47439846,0.50808936,0.55452096,0.18377429,0.45214224,0.18772935999999996,,,,
3.003,0.50228345,0.68833816,0.51778585,0.72375789,0.48678103,0.71982238,0.53771752,0.72375789,0.46020541,0.7158868,0.57093698,0.58995003,0.42920059,0.58601445,0.59972721,0.36562496,0.40262502,0.36168939,0.5665077,0.47975528,0.46020541,0.49943286,0.55543453,0.17278421,0.45356157,0.18065524,,,,
3.1031,0.50582689,0.69397858,0.51923651,0.7297233000000001,0.48794729,0.72575167,0.53711611,0.7297233000000001,0.46112785,0.72178003,0.57064039,0.59865943,0.42760363,0.59071615,0.59969479,0.37624806,0.40078422,0.36830479000000005,0.56170058,0.50731191,0.45665798,0.50334027,0.55276084,0.18163799999999997,0.45218807,0.18163799999999997,,,,
3.2032,0.51551324,0.69449726,0.53118372,0.7303009300000001,0.49760419,0.7263227400000001,0.5468542,0.7303009300000001,0.47074053,0.72234449,0.5759564,0.60299897,0.43492237,0.59902078,0.60953599,0.38817698,0.4058201,0.37226433000000003,0.57147914,0.53139165,0.46626326,0.51945716,0.55357009,0.18131143000000005,0.45507011,0.18528962000000004,,,,
3.3033,0.53664535,0.66789109,0.54960269,0.7024299199999999,0.51720941,0.69859231,0.56471956,0.7062675700000001,0.48481616,0.69859231,0.5863151,0.57962522,0.44594422,0.57578757,0.62086797,0.37622994,0.40923178,0.34936630999999996,0.57983649,0.5258981899999999,0.48049703,0.483684,0.54960269,0.18050986999999996,0.45242289,0.18434751000000005,,,,
3.4034,0.56924516,0.60771942,0.58171201,0.64464307,0.55054504,0.64095065,0.59417886,0.64833546,0.51106691,0.64095065,0.60041219,0.5264875,0.46327767,0.5264875,0.63573468,0.32340758999999997,0.40094376,0.31602293000000004,0.60456771,0.47848683999999997,0.49860013,0.4046396,0.53184491,0.16463614000000004,0.44042188,0.16832846,,,0.47782221,0.01694167000000002
3.5035,0.59347576,0.51275116,0.6054461,0.54820439,0.57352525,0.54465908,0.61741644,0.5588403900000001,0.53761429,0.55174971,0.60943621,0.43829924,0.49970818,0.47729790000000005,0.6393621,0.22912496000000004,0.42788622,0.31775814,0.6333769,0.370938,0.53960931,0.34612076999999997,0.51566863,0.11921983999999997,0.42788622,0.12276518000000003,,,,
3.6036,0.60310143,0.45234686,0.61464238,0.48994689999999996,0.5819428,0.48652869,0.62425995,0.4967832,0.54347265,0.49336511000000005,0.60117793,0.36689234000000004,0.510773,0.42841958999999996,0.61656594,0.16180145999999995,0.48769096,0.29511052000000004,0.63195395,0.27801961,0.54539609,0.27118319,0.510773,0.07976501999999996,0.41267416,0.09001952000000002,,,,
3.7037,0.60290897,0.47758532,0.61609548,0.51440889,0.58595484,0.51440889,0.62551439,0.51440889,0.54451162,0.5211041000000001,0.60290897,0.38385272000000004,0.49930075,0.43071901999999995,0.61232781,0.17295419999999995,0.42583311,0.23990606999999997,0.62551439,0.27338200999999995,0.51813859,0.31020546000000004,0.51437104,0.08926420999999995,0.41829795,0.09595947999999999,,,,
3.8038,0.58756286,0.55644324,0.59908199,0.5939718199999999,0.56836444,0.59056011,0.61060113,0.59056011,0.53188723,0.5871484,0.60484153,0.46091616,0.48773077,0.49844474000000005,0.62787974,0.24256855,0.42053607,0.28009706999999995,0.62595981,0.38927084,0.49924988,0.41315263999999996,0.52228802,0.11292469999999999,0.43205515,0.13339471999999997,,,,
3.9039,0.56976479,0.64471316,0.5826239,0.67899036,0.55261922,0.67899036,0.59548312,0.67518184,0.51832807,0.67518184,0.59333998,0.54949865,0.4776074,0.57996729,0.63834703,0.35145247,0.42617071,0.36287826,0.61691511,0.5190300299999999,0.49689618,0.5266471500000001,0.53118724,0.17244910999999996,0.44331631,0.18006628999999996,,,,
4.004,0.55700874,0.7094098600000001,0.57054144,0.7374664799999999,0.53896505,0.7374664799999999,0.58407426,0.73345837,0.50287747,0.73345837,0.58407426,0.6132156799999999,0.46453467,0.6212318800000001,0.63820541,0.42884362,0.43295816,0.42082739,0.60662884,0.59718335,0.49611112,0.59718335,0.53896505,0.20439052999999996,0.45100185,0.21240669,,,,
4.1041,0.54956508,0.7255162900000001,0.56329125,0.75397372,0.53126353,0.74990839,0.57701725,0.74990839,0.49694833,0.7417776899999999,0.57701725,0.6279478700000001,0.4603453,0.63201323,0.63649726,0.44907242,0.43518075,0.42874563,0.60218185,0.6198171699999999,0.49466059,0.60355571,0.54956508,0.19702071,0.45576993,0.20108598,,,,
